cod;nome;período;valor
26;PE;2001;3949
22;PI;2001;102
41;PR;2001;1269
33;RJ;2001;6134
24;RN;2001;216
11;RO;2001;377
14;RR;2001;42
43;RS;2001;1343
42;SC;2001;269
28;SE;2001;366
35;SP;2001;10625
17;TO;2001;131
31;MG;2002;2049
50;MS;2002;421
51;MT;2002;582
15;PA;2002;694
25;PB;2002;425
26;PE;2002;3639
22;PI;2002;120
41;PR;2002;1494
33;RJ;2002;6678
13;AM;2002;201
24;RN;2002;193
11;RO;2002;393
14;RR;2002;48
43;RS;2002;1373
42;SC;2002;317
28;SE;2002;402
35;SP;2002;9415
17;TO;2002;83
32;ES;2002;1221
52;GO;2002;893
53;DF;2002;469
12;AC;2002;66
27;AL;2002;720
21;MA;2002;253
16;AP;2002;50
29;BA;2002;1220
23;CE;2002;741
42;SC;2003;414
12;AC;2003;57
33;RJ;2003;6365
27;AL;2003;774
13;AM;2003;171
16;AP;2003;70
29;BA;2003;1588
23;CE;2003;846
53;DF;2003;562
32;ES;2003;1179
52;GO;2003;868
21;MA;2003;351
31;MG;2003;2815
50;MS;2003;430
51;MT;2003;555
15;PA;2003;871
25;PB;2003;459
26;PE;2003;3766
22;PI;2003;143
41;PR;2003;1748
24;RN;2003;289
11;RO;2003;381
14;RR;2003;41
43;RS;2003;1365
28;SE;2003;339
35;SP;2003;9570
17;TO;2003;98
41;PR;2004;1912
12;AC;2004;49
27;AL;2004;754
13;AM;2004;227
16;AP;2004;74
29;BA;2004;1590
23;CE;2004;916
53;DF;2004;506
32;ES;2004;1188
52;GO;2004;988
21;MA;2004;355
31;MG;2004;3255
50;MS;2004;387
51;MT;2004;454
15;PA;2004;969
26;PE;2004;3344
22;PI;2004;131
33;RJ;2004;6193
24;RN;2004;237
11;RO;2004;334
14;RR;2004;31
43;RS;2004;1432
42;SC;2004;377
28;SE;2004;301
35;SP;2004;7611
17;TO;2004;100
25;PB;2004;472
29;BA;2005;2022
23;CE;2005;1012
53;DF;2005;452
32;ES;2005;1189
52;GO;2005;937
21;MA;2005;489
31;MG;2005;3099
50;MS;2005;345
51;MT;2005;487
15;PA;2005;1195
25;PB;2005;543
26;PE;2005;3509
22;PI;2005;151
41;PR;2005;2027
33;RJ;2005;5978
24;RN;2005;268
11;RO;2005;367
14;RR;2005;28
43;RS;2005;1473
28;SE;2005;318
35;SP;2005;5796
17;TO;2005;78
13;AM;2005;264
27;AL;2005;909
12;AC;2005;36
42;SC;2005;392
16;AP;2005;55
24;RN;2006;306
12;AC;2006;50
27;AL;2006;1308
13;AM;2006;379
16;AP;2006;75
29;BA;2006;2402
23;CE;2006;1060
53;DF;2006;435
32;ES;2006;1294
52;GO;2006;984
21;MA;2006;479
31;MG;2006;3075
50;MS;2006;370
51;MT;2006;497
15;PA;2006;1295
25;PB;2006;628
26;PE;2006;3592
22;PI;2006;192
41;PR;2006;2229
11;RO;2006;383
14;RR;2006;38
43;RS;2006;1425
42;SC;2006;386
28;SE;2006;403
35;SP;2006;5761
17;TO;2006;85
33;RJ;2006;5790
35;SP;2007;4150
17;TO;2007;88
42;SC;2007;377
23;CE;2007;1224
26;PE;2007;3706
25;PB;2007;656
22;PI;2007;184
12;AC;2007;51
27;AL;2007;1552
13;AM;2007;415
16;AP;2007;60
29;BA;2007;2700
28;SE;2007;348
15;PA;2007;1385
51;MT;2007;542
50;MS;2007;401
31;MG;2007;2983
21;MA;2007;602
52;GO;2007;1009
32;ES;2007;1363
43;RS;2007;1661
41;PR;2007;2285
33;RJ;2007;5102
24;RN;2007;438
53;DF;2007;516
11;RO;2007;321
14;RR;2007;28
17;TO;2008;98
12;AC;2008;40
27;AL;2008;1596
13;AM;2008;446
